,bbps-0-1,bbps-2-3,cecum,dyed-lifted-polyps,dyed-resection-margins,esophagitis-a,esophagitis-b-d,impacted-stool,polyps,pylorus,retroflex-rectum,retroflex-stomach,ulcerative-colitis-grade-1,ulcerative-colitis-grade-2,ulcerative-colitis-grade-3,z-line
bbps-0-1,123,2,0,0,0,0,0,1,0,0,0,0,0,1,2,0
bbps-2-3,1,221,0,0,0,0,0,8,0,0,0,0,0,0,0,0
cecum,0,0,194,0,0,0,0,0,1,0,0,0,6,1,0,0
dyed-lifted-polyps,0,0,0,155,44,0,0,0,1,0,0,0,0,0,0,0
dyed-resection-margins,0,0,0,14,184,0,0,0,0,0,0,0,0,0,0,0
esophagitis-a,0,0,0,0,0,58,8,0,0,0,0,0,0,0,0,15
esophagitis-b-d,0,0,0,0,0,18,34,0,0,0,0,0,0,0,0,0
impacted-stool,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0
polyps,0,0,1,0,0,0,0,0,198,2,3,0,1,1,0,0
pylorus,0,0,0,0,0,0,0,0,0,198,0,0,2,0,0,0
retroflex-rectum,0,0,0,0,0,0,0,0,0,0,76,1,1,0,0,0
retroflex-stomach,0,0,0,0,0,0,0,0,0,0,1,152,0,0,0,0
ulcerative-colitis-grade-1,0,0,2,0,0,0,0,0,2,0,0,0,27,9,0,0
ulcerative-colitis-grade-2,0,0,1,0,0,0,0,0,0,0,0,0,17,68,3,0
ulcerative-colitis-grade-3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,21,0
z-line,0,0,0,0,0,24,3,0,0,0,0,0,0,0,0,159
