class_a,class_b,a_to_b,b_to_a,mutual_confusion,merge
dyed-lifted-polyps,dyed-resection-margins,44,14,58,True
esophagitis-a,z-line,15,24,39,True
esophagitis-a,esophagitis-b-d,8,18,26,True
ulcerative-colitis-grade-1,ulcerative-colitis-grade-2,9,17,26,True
ulcerative-colitis-grade-2,ulcerative-colitis-grade-3,3,5,8,False
bbps-2-3,impacted-stool,8,0,8,False
cecum,ulcerative-colitis-grade-1,6,2,8,False
bbps-0-1,bbps-2-3,2,1,3,False
polyps,ulcerative-colitis-grade-1,1,2,3,False
esophagitis-b-d,z-line,0,3,3,False
polyps,retroflex-rectum,3,0,3,False
polyps,pylorus,2,0,2,False
cecum,polyps,1,1,2,False
cecum,ulcerative-colitis-grade-2,1,1,2,False
pylorus,ulcerative-colitis-grade-1,2,0,2,False
retroflex-rectum,retroflex-stomach,1,1,2,False
bbps-0-1,ulcerative-colitis-grade-3,2,0,2,False
dyed-lifted-polyps,polyps,1,0,1,False
bbps-0-1,ulcerative-colitis-grade-2,1,0,1,False
bbps-0-1,impacted-stool,1,0,1,False
retroflex-rectum,ulcerative-colitis-grade-1,1,0,1,False
polyps,ulcerative-colitis-grade-2,1,0,1,False
bbps-0-1,esophagitis-a,0,0,0,False
bbps-0-1,esophagitis-b-d,0,0,0,False
bbps-2-3,retroflex-rectum,0,0,0,False
bbps-2-3,pylorus,0,0,0,False
bbps-2-3,polyps,0,0,0,False
bbps-2-3,esophagitis-b-d,0,0,0,False
bbps-2-3,dyed-resection-margins,0,0,0,False
bbps-2-3,ulcerative-colitis-grade-1,0,0,0,False
bbps-2-3,z-line,0,0,0,False
bbps-2-3,retroflex-stomach,0,0,0,False
cecum,esophagitis-a,0,0,0,False
cecum,dyed-resection-margins,0,0,0,False
cecum,dyed-lifted-polyps,0,0,0,False
cecum,esophagitis-b-d,0,0,0,False
cecum,pylorus,0,0,0,False
cecum,impacted-stool,0,0,0,False
bbps-2-3,ulcerative-colitis-grade-2,0,0,0,False
bbps-2-3,ulcerative-colitis-grade-3,0,0,0,False
cecum,retroflex-rectum,0,0,0,False
cecum,retroflex-stomach,0,0,0,False
cecum,z-line,0,0,0,False
cecum,ulcerative-colitis-grade-3,0,0,0,False
bbps-0-1,polyps,0,0,0,False
bbps-0-1,retroflex-stomach,0,0,0,False
bbps-0-1,z-line,0,0,0,False
bbps-0-1,retroflex-rectum,0,0,0,False
bbps-2-3,cecum,0,0,0,False
bbps-2-3,dyed-lifted-polyps,0,0,0,False
bbps-2-3,esophagitis-a,0,0,0,False
bbps-0-1,pylorus,0,0,0,False
bbps-0-1,ulcerative-colitis-grade-1,0,0,0,False
bbps-0-1,dyed-resection-margins,0,0,0,False
bbps-0-1,dyed-lifted-polyps,0,0,0,False
bbps-0-1,cecum,0,0,0,False
dyed-resection-margins,esophagitis-b-d,0,0,0,False
dyed-resection-margins,esophagitis-a,0,0,0,False
dyed-lifted-polyps,z-line,0,0,0,False
dyed-lifted-polyps,ulcerative-colitis-grade-3,0,0,0,False
dyed-lifted-polyps,ulcerative-colitis-grade-2,0,0,0,False
dyed-lifted-polyps,ulcerative-colitis-grade-1,0,0,0,False
dyed-lifted-polyps,retroflex-stomach,0,0,0,False
dyed-lifted-polyps,retroflex-rectum,0,0,0,False
dyed-lifted-polyps,pylorus,0,0,0,False
dyed-lifted-polyps,impacted-stool,0,0,0,False
dyed-lifted-polyps,esophagitis-b-d,0,0,0,False
dyed-lifted-polyps,esophagitis-a,0,0,0,False
dyed-resection-margins,retroflex-stomach,0,0,0,False
dyed-resection-margins,ulcerative-colitis-grade-1,0,0,0,False
dyed-resection-margins,pylorus,0,0,0,False
dyed-resection-margins,impacted-stool,0,0,0,False
esophagitis-a,ulcerative-colitis-grade-1,0,0,0,False
esophagitis-a,retroflex-stomach,0,0,0,False
esophagitis-a,ulcerative-colitis-grade-3,0,0,0,False
esophagitis-a,ulcerative-colitis-grade-2,0,0,0,False
esophagitis-b-d,polyps,0,0,0,False
esophagitis-b-d,pylorus,0,0,0,False
esophagitis-b-d,retroflex-rectum,0,0,0,False
dyed-resection-margins,polyps,0,0,0,False
dyed-resection-margins,ulcerative-colitis-grade-3,0,0,0,False
dyed-resection-margins,z-line,0,0,0,False
esophagitis-a,impacted-stool,0,0,0,False
esophagitis-a,polyps,0,0,0,False
esophagitis-a,pylorus,0,0,0,False
esophagitis-a,retroflex-rectum,0,0,0,False
dyed-resection-margins,ulcerative-colitis-grade-2,0,0,0,False
dyed-resection-margins,retroflex-rectum,0,0,0,False
impacted-stool,retroflex-stomach,0,0,0,False
impacted-stool,retroflex-rectum,0,0,0,False
impacted-stool,pylorus,0,0,0,False
impacted-stool,polyps,0,0,0,False
esophagitis-b-d,ulcerative-colitis-grade-3,0,0,0,False
esophagitis-b-d,ulcerative-colitis-grade-2,0,0,0,False
esophagitis-b-d,ulcerative-colitis-grade-1,0,0,0,False
esophagitis-b-d,retroflex-stomach,0,0,0,False
esophagitis-b-d,impacted-stool,0,0,0,False
impacted-stool,ulcerative-colitis-grade-2,0,0,0,False
polyps,z-line,0,0,0,False
polyps,ulcerative-colitis-grade-3,0,0,0,False
polyps,retroflex-stomach,0,0,0,False
impacted-stool,ulcerative-colitis-grade-3,0,0,0,False
impacted-stool,z-line,0,0,0,False
impacted-stool,ulcerative-colitis-grade-1,0,0,0,False
pylorus,ulcerative-colitis-grade-3,0,0,0,False
pylorus,ulcerative-colitis-grade-2,0,0,0,False
pylorus,retroflex-stomach,0,0,0,False
pylorus,retroflex-rectum,0,0,0,False
retroflex-rectum,ulcerative-colitis-grade-3,0,0,0,False
retroflex-rectum,z-line,0,0,0,False
pylorus,z-line,0,0,0,False
retroflex-rectum,ulcerative-colitis-grade-2,0,0,0,False
retroflex-stomach,ulcerative-colitis-grade-2,0,0,0,False
retroflex-stomach,ulcerative-colitis-grade-1,0,0,0,False
retroflex-stomach,z-line,0,0,0,False
retroflex-stomach,ulcerative-colitis-grade-3,0,0,0,False
ulcerative-colitis-grade-1,ulcerative-colitis-grade-3,0,0,0,False
ulcerative-colitis-grade-1,z-line,0,0,0,False
ulcerative-colitis-grade-2,z-line,0,0,0,False
ulcerative-colitis-grade-3,z-line,0,0,0,False
